Iterating over heap. This may take a while...
Object Histogram:

num       #instances    #bytes  Class description
--------------------------------------------------------------------------
343:            115     5872    java.beans.PropertyDescriptor[]
344:            81      5832    sun.reflect.DelegatingClassLoader
345:            241     5784    com.alibaba.druid.sql.parser.Token
346:            144     5760    org.apache.log4j.Logger
347:            120     5760    java.util.WeakHashMap
348:            94      5640    java.lang.ref.SoftReference[]
349:            174     5568    org.jsoup.parser.Tag
350:            139     5560    java.security.ProtectionDomain
351:            229     5496    java.security.Provider$ServiceKey
352:            229     5496    org.apache.log4j.CategoryKey
353:            76      5472    java.util.regex.Pattern
354:            97      5432    org.springframework.beans.PropertyValue
355:            96      5376    sun.nio.cs.ext.DoubleByte$Decoder
356:            95      5320    sun.security.util.MemoryCache$SoftCacheEntry
357:            95      5320    sun.security.x509.X509CertInfo
358:            131     5240    java.lang.invoke.MethodType
359:            218     5232    java.io.ByteArrayOutputStream
360:            324     5184    java.io.InputStream[]
361:            214     5136    java.lang.ThreadLocal$ThreadLocalMap
362:            106     5088    java.util.Properties
363:            105     5040    org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
364:            89      4984    java.security.Provider$Service
365:            124     4960    sun.reflect.generics.repository.MethodRepository
366:            103     4944    org.apache.tomcat.util.buf.ByteChunk
367:            203     4872    com.alibaba.druid.filter.FilterChainImpl
368:            197     4728    javax.management.ImmutableDescriptor
369:            97      4656    java.util.concurrent.ThreadPoolExecutor$Worker
370:            145     4640    com.alibaba.fastjson.util.IdentityHashMap$Entry
371:            144     4608    java.util.Collections$UnmodifiableMap
372:            192     4608    com.sun.org.apache.xerces.internal.util.SymbolHash$Entry
373:            191     4584    java.util.BitSet
374:            191     4584    sun.reflect.generics.factory.CoreReflectionFactory
375:            189     4536    org.apache.juli.ClassLoaderLogManager$LogNode
376:            141     4512    java.security.CodeSource
377:            186     4464    sun.security.provider.JavaKeyStore$TrustedCertEntry
378:            139     4448    java.lang.StringCoding$StringDecoder
379:            92      4416    javax.management.MBeanInfo
380:            69      4416    java.util.jar.JarFile
381:            273     4368    java.lang.Byte
